question,answer,followUp
Do you consider yourself successful? Why?,"Yes I consider myself a successful person. I believe success is not just achieving. The success of a person lies in the way the life is oriented. More than that, if you are a person of high character, who can see others through you, there lies the success of a person. Also the physical aspects add to th",What did you learn from your failures?
How do you balance life and work?,I most probably am not able to balance life and work but i usely make a time table to create a temp.  balance,Can you handle stress?
How do you balance life and work?,I most probably am not able to balance life and work but i usely make a time table to create a temp.  balance,How do you manage stress?
What is the difference between confidence and over-confidence?,"well in easy words, confidence is a believe in our own capabilities (in respect to certain job) and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",How can you avoid over-confidence?
What is the difference between confidence and over-confidence?,"well in easy words, confidence is a believe in our own capabilities (in respect to certain job) and being assured that i can do it whereas overconfidence is'only i an do this job,and no one else can'.",Would you realize when you become overconfident?
What has been the greatest disappointment in your life?,"I've never been able to relate to any human being completely.I've always felt a little like a fish out of water.Even with the people I'm close to.I have fun with them,really enjoy being in their company but at some point,I feel that they don't understand me that well.I wonder if other people feel this way or it's just me.Also,I can't merge with other people in a short time.I see people forming friends in a matter of minutes and they seem so close that I wonder if they know each other from years.Whereas with me,it takes years to get to that stage.Although life has taught me enough to considerably change this,I still feel that there's a lot of room for improvement.I hope,one day that I'll be able to do this with the ease that everyone does.",What are the learnings from your disappointment?
What has been the greatest disappointment in your life?,"I've never been able to relate to any human being completely.I've always felt a little like a fish out of water.Even with the people I'm close to.I have fun with them,really enjoy being in their company but at some point,I feel that they don't understand me that well.I wonder if other people feel this way or it's just me.Also,I can't merge with other people in a short time.I see people forming friends in a matter of minutes and they seem so close that I wonder if they know each other from years.Whereas with me,it takes years to get to that stage.Although life has taught me enough to considerably change this,I still feel that there's a lot of room for improvement.I hope,one day that I'll be able to do this with the ease that everyone does.",What are your takeaways?
Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",When has taking a risk gotten you in trouble?
Are you a risk taker or do you stay away from risk?,"I am a risk taker. After I failed to clear JEE first time, though I had some other good college option, I risked taking a year drop. After an year, I failed to clear JEE again, but ended up in a better college which I wouldnt have got the first time. I like to take risk, because, whatever might be the outcome, I dont like to give up before even trying it.",Why did you fail JEE the second time again?
How did you handle meeting a tight deadline?,i generally don't postpone my work till the deadline. I am conscious enough and plan everything in advance and manage the things to avoid any last minute tensions. ,Do you pile up your work if there are many deadlines?
What obstacles or difficulties have you ever faced in communicating your ideas?,"I have been an active debater since my school days, so verbalizing an idea, abstract or otherwise, as such hasn't been an obstacle, so to speak. BUT, what I struggled with and what I learned over time is the rationing of words instead of rendering an unadulterated version of my ideas. Each and every situation is unique and requires a tact suited to it, and for a long time, I struggled with finding the right balance between good interpersonal skills and circumstantial need.",Can you give a real life example to support your claim?
Tell me about a time when you misjudged a person.," When am studying my diploma I become very close to one girl, she always used to share her all feelings one day the other girl cane and told don't to be close to her, I misjudged this girl and I also scolded  after I came to know that this girl is right. I judge her wrong way and all.",How has it changed you as a person?
Tell me about a time when you misjudged a person.," When am studying my diploma I become very close to one girl, she always used to share her all feelings one day the other girl cane and told don't to be close to her, I misjudged this girl and I also scolded  after I came to know that this girl is right. I judge her wrong way and all.",What did you learn from this incident?
What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,Do you think you are assertive?
What do people most often criticize about you?,I am generally good to everyone and try to make them and myself happy about any stuff we talk about. When i have any quarrel or fight with anyone i excuse them after sometime. But the other person sometimes take advantage of this quality of mine and starts or makes a new issue and fights back. ,What are you doing to improve this quality ?
"If you could relive the last 10 years of your life, what would you do differently?","I would prepare for my IITJEE and AIEEE exam in a more matured way. I would manage my time in a much better way (than i had done before) in utilizing it for playing various games of my interests, learn music (which i always regret for not learning it) and last but not the least learn how to be active in the public involving myself in group discussions, debates and many such things. I would also spend time in going for a trip atleast once in a year with my family.",How different you think you would turn up if you had followed what you said?
"If you could relive the last 10 years of your life, what would you do differently?","I would prepare for my IITJEE and AIEEE exam in a more matured way. I would manage my time in a much better way (than i had done before) in utilizing it for playing various games of my interests, learn music (which i always regret for not learning it) and last but not the least learn how to be active in the public involving myself in group discussions, debates and many such things. I would also spend time in going for a trip atleast once in a year with my family.",Name one thing in past 10 years you never want to change?
How would you convince your client with your ideas?,Just by explaining benefits of my way of doing the job and how he will get benefits from it.,What if he is not very happy with your way?
How would you convince your client with your ideas?,Just by explaining benefits of my way of doing the job and how he will get benefits from it.,What will you do if the client is too demanding?
How do you feel about working under a person who is younger to you?,"When I work under a person younger than me, I always follow two important things.  Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",Do you think huge age difference can be a problem while working as a team?
How do you feel about working under a person who is younger to you?,"When I work under a person younger than me, I always follow two important things.  Teach him from my experience if he is doing something wrong and second thing is to learn many things from him as he is in higher post then me.",On contrary how will you deal with a person older than you working under you?
What are your passions?,"I am passionate about coding. I believe in the quote that ' Talk is cheap, show me code ' . I also play and watch a lot of basketball and a huge fan of Michael Jordan. I love watching movies as well and Pawan Kalyan from Tollywood is my favorite actor. I spend free time with family.","Since family is important to you, how would you move to a different city if the work requires it?"
What are your passions?,"I am passionate about coding. I believe in the quote that ' Talk is cheap, show me code ' . I also play and watch a lot of basketball and a huge fan of Michael Jordan. I love watching movies as well and Pawan Kalyan from Tollywood is my favorite actor. I spend free time with family.",Which position do you play in your basketball team?
How would you be an asset to this organisation?  ,I can be an asset as I am patient while handling people and situations. I can participate and coordinate well with teams I get to work with. I can take in criticisms and work on to improve myself. I like to learn new things from anybody and will take necessary help whenever needed. I quite friendly with everyone.,Have you ever led a team?
How would you be an asset to this organisation?  ,I can be an asset as I am patient while handling people and situations. I can participate and coordinate well with teams I get to work with. I can take in criticisms and work on to improve myself. I like to learn new things from anybody and will take necessary help whenever needed. I quite friendly with everyone.,What was the last criticism that you took in to improve yourself?
How do you kill your time when you are not working?,"I generally like to talk to my family and friends and roam around and have fun. Watch movies or go out and eat somewhere chitchatting with them which relieves my mood. If I find them busy or engaged in other work then would spend my time alone listening to music, watching TV, reading books and sleeping to relax myself.",Do you have a favorite music genre?
How do you kill your time when you are not working?,"I generally like to talk to my family and friends and roam around and have fun. Watch movies or go out and eat somewhere chitchatting with them which relieves my mood. If I find them busy or engaged in other work then would spend my time alone listening to music, watching TV, reading books and sleeping to relax myself.",What's your favorite movie?
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.
\
But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.
\
Overall, i will consider myself as an organised person!!",Do you work with a plan in mind always?
In what ways are you an organised or disorganised person?,"I would consider or rather i would prefer an organised lifestyle. I keep my things clean and in proper organised place, which helps me in finding my things easily. I also plan my week using a weekly planner and try my best to achieve my weekly goals by following it. these are two examples to say that i am an organised person.
\
But life is not sunshine and rainbows as Sylvester Stallone says! I do procrastinate sometimes, go off the schedule and relax more. There are days where i missed my breakfast and slept for nearly 10 hours, which could be a possible example to say that i am a disorganised person sometimes.
\
Overall, i will consider myself as an organised person!!",How would you act if a person in your team wasn't as organized as you and is hampering your ability to keep up with your schedule?
What are the qualities that you seek in your manager?,I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works. ,But what if the manager is very stringent in his/her needs?
What are the qualities that you seek in your manager?,I would like my manager to have the quality of hearing and understanding various approaches to a problem rather than giving out their own idea to work on. This would help to approach any matter without much difficulty and getting out the right solution. I would also like them to be understanding situations around them and resolving any difficulties or concerns so that things proceed smoothly and happily which would help in better interactions and team-works. ,GIve me an example of an intersting problem that you found a solution to recently?
Tell us about a situation when your work has been criticized.,"Actually, this has not really happened yet to me in a professional capacity if perhaps a few instances from middle school or high school can be excused. However, if this were to happen in the right way (positive criticism), I think I would be able to handle it in a way it brings some improvement in my work or the organization. I will be willing to accomodate any suggestions or advice that I feel would make the work better. ",How would you decide if the criticism is positive or negative?
Tell us about a situation when your work has been criticized.,"Actually, this has not really happened yet to me in a professional capacity if perhaps a few instances from middle school or high school can be excused. However, if this were to happen in the right way (positive criticism), I think I would be able to handle it in a way it brings some improvement in my work or the organization. I will be willing to accomodate any suggestions or advice that I feel would make the work better. ",Would you adapt to the criticism and change yourself?
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,How will you collaborate with people in the organization?
How would you be an asset to this organisation?  ,I can be an asset to this organisation by contributing my knowledge and skills whenever and wherever its required. I will put my hard work and full dedication to achieve the goal and can make good interaction with people in organisation so as to create a good understanding to work together efficiently.,How will you interact with your peers?
How do you define success and how do you measure upto your own definition? ,"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",What are your current goals?
How do you define success and how do you measure upto your own definition? ,"I define success as an achievement of your goals which also adhere to your ideals. My initial interests were in the field of Chemistry followed by Computer Science. Given that I am in a good institute which is well-known for Computer Science, I would say I am partly successful. I don't consider myself completely successful as I couldn't pursue my first interest.",Why does Computer Science interest you?
What are your views about further studies?,"It is indeed very important to gain knowledge and experience in areas which I am interested in to become an expert. So, I may go for Phd if I get accepted to  a top notch institution which works on my interest areas.",What are your interest areas?
What are your views about further studies?,"It is indeed very important to gain knowledge and experience in areas which I am interested in to become an expert. So, I may go for Phd if I get accepted to  a top notch institution which works on my interest areas.",What would that mean to your future at the company?
How do you feel about working under a person who is younger to you?,"The feeling would be a challenging one as I would think lowly of myself just because of someone else's sheer brillance. But if the person is good enough and knowledgable and of course not egoistic, then I can rather learn a lot from him/her.",How would you handle if he doesn't agree with your decisions?
How do you feel about working under a person who is younger to you?,"The feeling would be a challenging one as I would think lowly of myself just because of someone else's sheer brillance. But if the person is good enough and knowledgable and of course not egoistic, then I can rather learn a lot from him/her.",How would you handle the decision making challenge?
Have you ever had to sell an idea to your co-workers? How did you do it?,"I had to, when we were brainstorming ideas for a hacking session. I first tried to understand their concerns and requirements. Later I pitched my idea in accordance to that. I ensured that I understood and answered all their queries. ",How did they react to your suggestions?
Give an example of your creativity.,"i cant have perception to be creative,but some of my thoughts seems to be creative.one such example is the attitude i have towards others,every work others do either positive or negative,i hope there is some reason behind it,taking it in a creative way,may be it doesn't look creative,creativity is defined to me like this.",How do you identify creativity in others?
What are your passions?,I want to be a good programmer and also i want to be best fifa player.,How do you think you can become a good programmer?
Tell me about a time when you had to deal with a co-worker who wasn't doing his/her fair share of the work. What did you do and what was the outcome?,"In my B.Tech we had a project in seventh semester. We were a team of 3 girls. Two of us, including me were working on the back end and one was working only on the design part of the front pages. The design part of internal pages was also being done by the 2 of us. At that time I felt that she is not doing her fair share of work, but I with my other team mate managed to do b ",How would you convince such people to be a team player?
How do you define success and how do you measure upto your own definition? ,Success according to me is that you started something which you are scared of and you completed properly. According to me I've started and completed many things properly so I'm stand at reasonable level at my definition.,How would you measure the quality of your success?
What motivates you to do a good job?,"Which type of job I am doing it matters to me, If it helps to mankind it motivates me.",Great. Can you give me an example of such great work?
How will you make the best of this job?,I will try to learn and extract as much as possible from my job. It will benefit me and also my company. I have good logical thinking power and I can work hard. So if there are situations to stay for long time and if there is any critical problem I can use my logical ability to solve it better. I can work in a smart way as an optimised algorithm. I am a good team player so if there are any hurdles in the middle of the project I can manage the conflicts and I can make the team work. ,How will you resolve a conflict with a peer?
How will you make the best of this job?,I will try to learn and extract as much as possible from my job. It will benefit me and also my company. I have good logical thinking power and I can work hard. So if there are situations to stay for long time and if there is any critical problem I can use my logical ability to solve it better. I can work in a smart way as an optimised algorithm. I am a good team player so if there are any hurdles in the middle of the project I can manage the conflicts and I can make the team work. ,Who is an ideal team player according to you?
What are the strategies you think one should have to perform well in such an interview?,"I would like mention in few points.
1) Come with a clear mind.
2) Have a good nights sleep , the previous night.
3) Practice before the mirror before coming to the interview.
4) Eat a healthy breakfast.
5) Don't heed to any naysayers advice. People may try to bring you down.
6) Visualise your success in the interview.
7) Be well prepared with your resume.
8) Take time to think while answering.
9) Be prepared to ask questions to the recruiter.
10) Don't let one failure dictate your future course of life. 
",Do you have any questions?
What are the strategies you think one should have to perform well in such an interview?,"I would like mention in few points.
1) Come with a clear mind.
2) Have a good nights sleep , the previous night.
3) Practice before the mirror before coming to the interview.
4) Eat a healthy breakfast.
5) Don't heed to any naysayers advice. People may try to bring you down.
6) Visualise your success in the interview.
7) Be well prepared with your resume.
8) Take time to think while answering.
9) Be prepared to ask questions to the recruiter.
10) Don't let one failure dictate your future course of life. 
",How did you prepare your resume?
Would you rather be liked or respected?,"I would like to be both respected and liked. But getting respect is more challenging than being liked, because respect demands some character, determination and lot of good qualities. Respect is earne
\
Being liked is subjective. One cannot be liked by everyone.",How do you plan on earning respect?
Would you rather be liked or respected?,"I would like to be both respected and liked. But getting respect is more challenging than being liked, because respect demands some character, determination and lot of good qualities. Respect is earne
\
Being liked is subjective. One cannot be liked by everyone.",What are your good qualities?
What is the most difficult decision youve ever had to make at work? How did you arrive at your decision? What was the result?,"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",How do you overcome such hard situations?
What is the most difficult decision youve ever had to make at work? How did you arrive at your decision? What was the result?,"The hardest decision I've taken is not at work but is was in my life its like choosing between IIT-R and IIIT-B. Its a kind of decision you can't take many people advise in this thing because you know it is at the last our Indian society which think IIT's as an top notch institute there's nothing better than that. So i was a very hard for me to decide. And i've come in this decision by talking to people who were currently studying here and reading many articles on internet. And result is good, it's like I cant compare them because I've lived only one experience but according to me the decision was paying off.",What is your usual decision making procedure?
Do you consider yourself successful? Why?,Yes.  I have good career and happy with where my current position,Tell me more about your career.
Do you consider yourself successful? Why?,Yes.  I have good career and happy with where my current position,What gives you satisfaction with your current position?
"Have you worked with someone unprofessional, how did you handle it?",I am a fresher so till now I have no idea of how things go on in a corporate world. That's why I can't answer this question very well.,Okay! Have you worked with someone unprofessional in a non-corporate project?
How do you balance life and work?,"I think both should be independent regarding the times you allocate for them and its very important to not indulge problems in one with other. Once you come to office my focus and concentration would be on my work and once I go to home, I would forget my work and spend tie with my family.",How do u manage your work and life?
How do you balance life and work?,"I think both should be independent regarding the times you allocate for them and its very important to not indulge problems in one with other. Once you come to office my focus and concentration would be on my work and once I go to home, I would forget my work and spend tie with my family.",How is your work and life?
Have you ever had to sell an idea to your co-workers? How did you do it?,"It was at the time of C project in my first semester. The whole batch of my class still did not get to know each other and we were still missing those previous days. Then we were asked to do project in  programming course. Since people were struggling for their ideas, I decided to help them. I made  deal with them like 'If you need the idea you have to owe me a treat'. ",Did your co-worker help you out to complete your task?
Have you ever had to sell an idea to your co-workers? How did you do it?,"It was at the time of C project in my first semester. The whole batch of my class still did not get to know each other and we were still missing those previous days. Then we were asked to do project in  programming course. Since people were struggling for their ideas, I decided to help them. I made  deal with them like 'If you need the idea you have to owe me a treat'. ",Did your co-worker help you with any idea?
Describe a decision you made that was a failure. What happened and why?,"Once we had to organize an event in our college. It was again a team work. We sat for a week together and planned to organize that event. But due to lack of coordination the event was not successful and we felt very bad. The day of our event there was miss communication and chaos. As a team we failed. It was for the first time, there was such an event and it was not that successful.",Why was there a lack of co-ordination?
Why shouldn't I hire you?,You shouldn't hire me if you felt that  I am not good enough to complete the tasks. ,What will be your contribution to our company?
Why shouldn't I hire you?,You shouldn't hire me if you felt that  I am not good enough to complete the tasks. ,Would you convince me that you would do a good job?
How would you be an asset to this organisation?  ,I am passionate about my work so would try to give my best to the organisation,What makes one not an asset to the organisation?
What do people most often criticize about you?,"Well, most people often criticize me that I go overboard if I feel something is wrong. Also I am not good at keeping secrets and might sometimes comment without thinking. but they fail to understand that I do so because it comes straight from my heart and never hide anything. They often tell me to have some faith and self confidence as I have a lot of stage fear and that I am afraid of responsibilities but with the same hardwork and command can be a good leader.",What do you think about these criticisms?
What are your passions?,"Abstractly I am passionate about life in general. I believe in appreciating smaller things in live, be it beauty of things or celebrating small days. I believe when you're celebrating and appreciating small things you bring positivity in your life through your ideas and thoughts as mind inculcates positive emotions in your day and it helps you face challenges of the day.  I am inquisitive by nature and reading is my passion as I like to learn new things and be updated with things around. I realise that whatever knowledge I have is a drop in the ocean and constantly try to learn new things to contribute into my ocean. ",What other than life and reading is your passion?
In what ways are you an organised or disorganised person?,"I am an organized persom.when it comes to studies or work, i will plan my schedule and completes it accordingly.Not only work or studies,but i also plan my regular activities and try to complete it accordingly.",Does organise only imply sticking with timelines or does it include anything else?
What obstacles or difficulties have you ever faced in communicating your ideas?,"I am not very expressive and can't put thoughts into words, so i have failed in communicating my ideas and explaining it or even getting work done.",And what have you done to overcome this difficulty?
Where do you see yourself five years from now?,I want to work in NASA. I hope that  my dream will come true.,Are you taking necessary steps to achieve that?
Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,Do you think you did the right thing by quitting internship?
Describe a time when your workload was heavy and how you handled it.,It was in the Jan 2017. When I was doing my internship and also the course work with many ongoing projects and also my own projects. At that time it was very hectic for me but finally managed it by deciding my priorities and finally I quit my internship.,How did it affect your life when you quit your internship?
Do you regret any decision in your life?,"No, I believe in what decisions I take for myself. Even if they are wrong, I don't regret as at a point of time it was me who took that decision.",Then do you blame yourself for all the bad decisions you have taken?
